Task ID,Task Name,Task Description,Category,Priority,Status,Start Date,Due Date,Estimated Time (hrs),Actual Time (hrs),Remarks
BatStateU001,Monthly Report,"Prepare, consolidate, and submit the Monthly Report of the Office of Student Development (OSD) by collecting and validating data on programs, activities, and services conducted during the reporting period. Ensure that all information is accurate, complete, and aligned with institutional reporting guidelines. The report shall be properly formatted, reviewed, and submitted within the prescribed timeline.",OSD,Can Wait,Submitted,"Feb 02, 2026","Feb 02, 2026",2hrs,"30 mins","Waiting for Maam Carmela's Signature"
BatStateU002,Monthly Report,"Prepare and submit the Monthly Statement of Account (SOA) Report by consolidating all financial transactions and billing records for the reporting period. Ensure accuracy, completeness, and proper reconciliation of accounts in coordination with the concerned offices. Verify that all entries comply with institutional financial policies and documentation standards. The finalized report shall be reviewed and submitted within the prescribed timeline.",SOA,Can Wait,On Going,"Feb 02, 2026","Feb 03, 2026",1hr,,
BatStateU003,Naga Competition Consulatation,"Conduct a consultation meeting for the NAGA Competition to provide guidance and technical advice to participating students. The activity includes discussing competition guidelines, requirements, timelines, and evaluation criteria, as well as addressing students’ concerns and clarifying expectations to ensure proper preparation and compliance with competition standards.",SOA,Urgent,Done,"Feb 02, 2026","Feb 02, 2026","30 mins","30 mins","waiting for the Final Video"
BatStateU004,Drafting a Request Letter for a Client Interview for the Capstone Project,"Prepare a formal request letter addressed to the identified client, seeking permission to conduct an interview for the Capstone Project. The task includes clearly stating the purpose of the interview, the scope of the project, proposed schedule, and ensuring that the letter adheres to institutional communication standards prior to endorsement and submission.",Capstone,Urgent,Done,"Feb 02, 2026","Feb 02, 2026","20 mins","30 mins","Uploaded to google Classroom"
BatStateU005,Update the Capstone Progress Tracker,"Review and update the Capstone Progress Tracker by recording the latest project milestones, deliverables, and completion status of each Capstone group. Ensure that all entries are accurate, current, and aligned with the approved project timelines and requirements. The updated tracker shall serve as a reference for monitoring student progress and for reporting purposes.",Capstone,Can Wait,Done,"Feb 02, 2026","Feb 03, 2026","4 hrs",,
BatStateU006,Remind the faculty regarding to the absenteeism proceedure,"Coordinate and disseminate reminders to faculty members regarding the institutional absenteeism procedures. Ensure that faculty are informed of the proper guidelines, documentation requirements, and enforcement protocols, including the admission slip requirement for students returning from absences.",Program Coordinator,Can Wait,Done,"Feb 02, 2026","Feb 02, 2026","1 hr","30 mins","already sent to the GC"
BatStateU007,Check 3 Captone Proposal,"Checked Capstone Proposals by reviewing project titles, objectives, scope, methodology, and feasibility to ensure alignment with program outcomes, institutional guidelines, and approval requirements.",Capstone,Urgent,Done,"Feb 03, 2026","Feb 03, 2026","2 hrs","2 hrs","Provide comments and recommendation to the students proposal"
BatStateU008,Follow up the Class Syllabus at CICS Alangilan,"Followed up the class syllabi at CICS Alangilan to ensure submission, completeness, and compliance with approved academic standards and institutional requirements.",Program Coordinator,Can Wait,On Going,"Feb 03, 2026","Feb 03, 2026","30 mins",,
BatStateU009,Accomplishment of Certificate of Compensation Payment/ Tax withheld (BIR FORM 2316),"Accomplished the Certificate of Compensation Payment / Tax Withheld (BIR Form 2316) by accurately completing required employee and compensation details in compliance with BIR regulations and institutional payroll guidelines.",Faculty,Urgent,Submitted,"Feb 03, 2026","Feb 03, 2026","30 mins","10 mins","Sumitted to Ma'am Abby for Printing"
,New,New,new,,,,,,,
,New,New,new,,,,,,,
,New,New,new,,,,,,,
,New,New,new,,,,,,,
,New,New,new,,,,,,,
,New,New,new,,,,,,,
,New,New,new,,,,,,,
